doc	sen	tok	type
1	1	Fix	ACT
1	1	want	TER
1	1	tinge	TER
1	1	self-conceit	TER
1	2	scene	TER
1	2	quay	TER
1	2	animate	TER
1	2	sailor	TER
1	2	nation	TER
1	2	merchant	TER
1	2	ship-broker	TER
1	2	porter	TER
1	2	fellah	TER
1	2	bustle	TER
1	2	steamer	TER
1	2	expect	TER
1	3	weather	TER
1	4	minaret	TER
1	4	town	TER
1	4	loom	TER
1	4	house	TER
1	4	ray	TER
1	4	sun	TER
1	5	pier	TER
1	5	yard	TER
1	5	extend	TER
1	5	roadstead	TER
1	6	fishing-smack	TER
1	6	boat	TER
1	6	retain	TER
1	6	fashion	TER
1	6	galley	TER
1	6	Red Sea	LOC
1	7	pass	TER
1	7	crowd	TER
1	7	Fix	ACT
1	7	habit	TER
1	7	scrutinise	TER
1	7	passers-by	TER
1	7	glance	TER
1	8	half-past ten	TER
1	9	steamer	TER
1	9	come	TER
1	9	exclaimed	TER
1	9	port clock	TER
1	9	strike	TER
1	10	return	TER
1	10	companion	TER
1	11	stop	TER
1	11	Suez	LOC
1	12	hour	TER
1	12	get	TER
1	12	coal	TER
1	13	mile	TER
1	13	Suez	LOC
1	13	Aden	LOC
1	13	end	TER
1	13	Red Sea	LOC
1	13	take	TER
1	13	coal supply	TER
1	14	go	TER
1	14	Suez	LOC
1	14	Bombay	LOC
1	15	put	TER
1	16	say	TER
1	16	Fix	ACT
1	17	robber	TER
1	17	get	TER
1	17	Suez	LOC
1	17	reach	TER
1	17	colony	TER
1	17	Asia	LOC
1	17	route	TER
1	18	know	TER
1	18	hour	TER
1	18	India	LOC
1	18	soil	TER
1	19	object	TER
1	19	consul	TER
1	20	criminal	TER
1	20	know	TER
1	20	London	LOC
1	21	observation	TER
1	21	furnish	TER
1	21	detective	TER
1	21	food	TER
1	21	thought	TER
1	21	consul	TER
1	21	go	TER
1	21	office	TER
1	22	Fix	ACT
1	22	presentiment	TER
1	22	robber	TER
1	22	Mongolia	ORG
1	23	London	LOC
1	23	intend	TER
1	23	reach	TER
1	23	New World	LOC
1	23	take	TER
1	23	route	TER
1	23	India	LOC
1	23	watch	TER
1	23	watch	TER
1	23	Atlantic	LOC
1	24	Fix	ACT
1	24	reflection	TER
1	24	interrupt	TER
1	24	succession	TER
1	24	whistle	TER
1	24	announce	TER
1	24	arrival	TER
1	24	Mongolia	ORG
1	25	porter	TER
1	25	fellah	TER
1	25	rush	TER
1	25	quay	TER
1	25	dozen	TER
1	25	boat	TER
1	25	push	TER
1	25	shore	TER
1	25	meet	TER
1	25	steamer	TER
1	26	hull	TER
1	26	appear	TER
1	26	pass	TER
1	26	bank	TER
1	26	eleven oclock	DAT
1	26	anchor	TER
1	26	road	TER
1	27	bring	TER
1	27	number	TER
1	27	passenger	TER
1	27	remain	TER
1	27	deck	TER
1	27	scan	TER
1	27	panorama	TER
1	27	town	TER
1	27	part	TER
1	27	disembark	TER
1	27	boat	TER
1	27	land	TER
1	27	quay	TER
1	28	Fix	ACT
1	28	take	TER
1	28	position	TER
1	28	examin	TER
1	28	face	TER
1	28	figure	TER
1	28	made	TER
1	28	appearance	TER
1	29	passenger	TER
1	29	push	TER
1	29	way	TER
1	29	crowd	TER
1	29	porter	TER
1	29	consulate	TER
1	29	time	TER
1	29	show	TER
1	29	passport	TER
1	29	wish	TER
1	29	visa	TER
1	30	Fix	ACT
1	30	passport	TER
1	30	glance	TER
1	30	read	TER
1	30	description	TER
1	30	bearer	TER
1	31	motion	TER
1	31	surprise	TER
1	31	escape	TER
1	31	description	TER
1	31	passport	TER
1	31	bank robber	TER
1	31	receive	TER
1	31	Scotland Yard	ORG
